track_name,artist_names
End of Beginning,Djo
The Fate of Ophelia,Taylor Swift
Man I Need,Olivia Dean
back to friends,sombr
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
I Just Might,Bruno Mars
WHERE IS MY HUSBAND!,RAYE
So Easy (To Fall In Love),Olivia Dean
Lush Life,Zara Larsson
Die With A Smile,"Lady Gaga, Bruno Mars"
Every Breath You Take,The Police
Ordinary,Alex Warren
Die On This Hill,SIENNA SPIRO
I Thought I Saw Your Face Today,She & Him
BIRDS OF A FEATHER,Billie Eilish
Raindance (feat. Tems),"Dave, Tems"
Iris,The Goo Goo Dolls
CHANEL,Tyla
dopamina,"Peso Pluma, Tito Double P"
Locked out of Heaven,Bruno Mars
Sailor Song,Gigi Perez
That's What I Like,Bruno Mars
Gabriela,KATSEYE
Cuando No Era Cantante,"El Bogueto, Yung Beef"
Sweater Weather,The Neighbourhood
No Broke Boys,"Disco Lines, Tinashe"
Love Me Not,Ravyn Lenae
Opalite,Taylor Swift
DtMF,Bad Bunny
BAILE INoLVIDABLE,Bad Bunny
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
daño,"Peso Pluma, Tito Double P"
4 Raws,EsDeeKid
12 to 12,sombr
Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
Creep,Radiohead
The Night We Met,Lord Huron
Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG"
Running Up That Hill (A Deal With God),Kate Bush
Who,Jimin
WILDFLOWER,Billie Eilish
Purple Rain,Prince
Just the Way You Are,Bruno Mars
One Dance,"Drake, Wizkid, Kyla"
Yellow,Coldplay
Let Me Love You,"DJ Snake, Justin Bieber"
Sedia Aku Sebelum Hujan,Idgitaf
APT.,"ROSÉ, Bruno Mars"
Beautiful Things,Benson Boone
La Perla,"ROSALÍA, Yahritza Y Su Esencia"
Don’t Say You Love Me,Jin
Espresso,Sabrina Carpenter
I Wanna Be Yours,Arctic Monkeys
Starboy,"The Weeknd, Daft Punk"
7-3,"Peso Pluma, Tito Double P"
When I Was Your Man,Bruno Mars
Manchild,Sabrina Carpenter
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
Sparks,Coldplay
That’s So True,Gracie Abrams
What You Saying,Lil Uzi Vert
Lose Control,Teddy Swims
Phantom,"EsDeeKid, Rico Ace"
Folded,Kehlani
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti"
Mr. Brightside,The Killers
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
Dreams - 2004 Remaster,Fleetwood Mac
It Will Rain,Bruno Mars
Pvta Luna,Neton Vega
Who Knows,Daniel Caesar
Internet Girl,KATSEYE
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA"
No One Noticed,The Marías
no tiene sentido,Beéle
JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody"
Feel Good Inc.,"Gorillaz, De La Soul"
undressed,sombr
505,Arctic Monkeys
LA VILLA,"Ryan Castro, Kapo"
Blinding Lights,The Weeknd
kota ini tak sama tanpamu,Nadhif Basalamah
NUEVAYoL,Bad Bunny
In the End,Linkin Park
Choosin' Texas,Ella Langley
EoO,Bad Bunny
Everybody Wants To Rule The World,Tears For Fears
Ya Borracho,Herencia De Grandes
As It Was,Harry Styles
Grenade,Bruno Mars
DAISIES,Justin Bieber
Somewhere Only We Know,Keane
"Good Luck, Babe!",Chappell Roan
Apocalypse,Cigarettes After Sex
Riptide,Vance Joy
A Couple Minutes,Olivia Dean
Nice To Each Other,Olivia Dean
Shape of You,Ed Sheeran
Talking to the Moon,Bruno Mars
Viva La Vida,Coldplay
Let Down,Radiohead
we can't be friends (wait for your love),Ariana Grande
ni pedo,"Peso Pluma, Tito Double P"
TU VAS SIN (fav),Rels B
Sports car,Tate McRae
Bring Me To Life,Evanescence
Sorry,Justin Bieber
like JENNIE,JENNIE
SPAGHETTI,"LE SSERAFIM, j-hope"
We Are The People,Empire Of The Sun
Marlboro Rojo,Fuerza Regida
Cinnamon Girl,Lana Del Rey
No Pole,Don Toliver
The Less I Know The Better,Tame Impala
Billie Jean,Michael Jackson
Zoo,"Disney, Shakira"
luther (with sza),"Kendrick Lamar, SZA"
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast"
LA CANCIÓN,"J Balvin, Bad Bunny"
The Man Who Can't Be Moved,The Script
Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album"
Smells Like Teen Spirit,Nirvana
VOY A LLeVARTE PA PR,Bad Bunny
Closer,"The Chainsmokers, Halsey"
Counting Stars,OneRepublic
Fame is a Gun,Addison Rae
From The Start,Laufey
Young And Beautiful,Lana Del Rey
Sahiba,Aditya Rikhari
Numb,Linkin Park
bckpckbyz,"Peso Pluma, Tito Double P"
Danza Kuduro,"Don Omar, Lucenzo"
"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan"
Africa,TOTO
Perfect,Ed Sheeran
Photograph,Ed Sheeran
2+2,"Omar Camacho, Victor Mendivil"
Die For You,The Weeknd
NOT CUTE ANYMORE,ILLIT
Take on Me,a-ha
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer"
The Scientist,Coldplay
Night Changes,One Direction
Should I Stay or Should I Go - Remastered,The Clash
Without Me,Eminem
Another Love,Tom Odell
Nothin' on You (feat. Bruno Mars),"B.o.B, Bruno Mars"
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake"
No Lie,"Sean Paul, Dua Lipa"
Payphone,"Maroon 5, Wiz Khalifa"
mi refe,"Beéle, Ovy On The Drums"
The Chain - 2004 Remaster,Fleetwood Mac
Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
We Found Love,"Rihanna, Calvin Harris"
Si Antes Te Hubiera Conocido,KAROL G
Confident,"Justin Bieber, Chance the Rapper"
Messy,Lola Young
Pink Pony Club,Chappell Roan
Plastic Cigarette,Zach Bryan
VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
Marry You,Bruno Mars
Don't Stop The Music,Rihanna
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton"
bittersweet,Madison Beer
LET THE WORLD BURN,Chris Grey
Cruel Summer,Taylor Swift
Breakin' Dishes,Rihanna
Sienna,The Marías
Attention,Charlie Puth
Somewhere I Belong,Linkin Park
lovely (with Khalid),"Billie Eilish, Khalid"
Century,EsDeeKid
All The Things She Said,t.A.T.u.
I Run,"HAVEN., Kaitlin Aragon"
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez"
Tears,Sabrina Carpenter
greedy,Tate McRae
Gangsta's Paradise,"Coolio, L.V."
Summertime Sadness,Lana Del Rey
JUMP,BLACKPINK
Poker Face,Lady Gaga
Love On The Brain,Rihanna
