chart_week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2026-01-15,1,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,1,1,100,57615296
2026-01-15,2,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,2,15,44990874
2026-01-15,3,spotify:track:1qbmS6ep2hbBRaEZFpn7BX,Olivia Dean,Man I Need,PLG - Capitol,3,4,21,31719946
2026-01-15,4,spotify:track:7qjZnBKE73H4Oxkopwulqe,sombr,back to friends,Warner Records,1,5,43,31620313
2026-01-15,5,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,1,3,30,31009336
2026-01-15,6,spotify:track:12bYYQaLqHliSXvRIYlq8G,Bruno Mars,I Just Might,Atlantic Records,6,-1,1,30951335
2026-01-15,7,spotify:track:55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,6,6,17,27947010
2026-01-15,8,spotify:track:6sGIMrtIzQjdzNndVxe397,Olivia Dean,So Easy (To Fall In Love),PLG - Capitol,6,7,16,26306045
2026-01-15,9,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,9,10,21,26245808
2026-01-15,10,spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope Records,1,13,74,24159403
2026-01-15,11,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,8,8,214,23980867
2026-01-15,12,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,1,9,49,23653815
2026-01-15,13,spotify:track:2gYTC8DsplN3RNdpdBcCOQ,SIENNA SPIRO,Die On This Hill,Capitol Records,13,33,5,22389725
2026-01-15,14,spotify:track:0myRViRgmQ3J8izICXEAVO,She & Him,I Thought I Saw Your Face Today,Merge Records,14,14,6,21090409
2026-01-15,15,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,11,87,20599145
2026-01-15,16,spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,16,28,7,20285068
2026-01-15,17,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,12,15,124,19462340
2026-01-15,18,spotify:track:4VxTzYm00mg82MuoT35Ja7,Tyla,CHANEL,Epic,9,12,9,19421773
2026-01-15,19,spotify:track:3e32UUqXzrI4g2y5kNZrwC,"Peso Pluma, Tito Double P",dopamina,Double P Records,13,19,3,19114232
2026-01-15,20,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,20,93,180,18538734
2026-01-15,21,spotify:track:21IYMdzTrzSe191Cy5eMap,Gigi Perez,Sailor Song,"Outtahere, LLC / Island Records",7,16,74,18269907
2026-01-15,22,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,Atlantic Records,6,66,168,18132730
2026-01-15,23,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,KATSEYE,Gabriela,HYBE/Geffen,10,17,30,17908421
2026-01-15,24,spotify:track:44xDy4h27s4ENaC8fKnCoC,"El Bogueto, Yung Beef",Cuando No Era Cantante,Candela Music,18,18,13,17537104
2026-01-15,25,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,16,23,281,17483840
2026-01-15,26,spotify:track:3cZajhyr8LmtPfHZ9296tj,"Disco Lines, Tinashe",No Broke Boys,Nice Life/Atlantic,13,21,29,17295951
